"s","beta.hat","CI.lower.pointwise","CI.upper.pointwise","CI.lower.joint","CI.upper.joint"
41,-0.0717826220571318,-0.357447140830953,0.21388189671669,-0.540285070824705,0.396719826710442
42,-0.0803185614772084,-0.360468692632159,0.199831569677742,-0.539777170589847,0.37914004763543
43,-0.0840976313954385,-0.35934550511705,0.191150242326173,-0.535516321438439,0.367321058647562
44,-0.0852654271179307,-0.360626438536876,0.190095584301015,-0.536869667989842,0.366338813753981
45,-0.0862621434444708,-0.364170896138056,0.191646609249114,-0.542044792720473,0.369520505831531
46,-0.086358018857633,-0.362791769345159,0.190075731629893,-0.539721599260669,0.367005561545403
47,-0.0840305615151402,-0.353803350891712,0.185742227861432,-0.526469871011091,0.35840874798081
48,-0.0792785357967422,-0.344103875606076,0.185546804012591,-0.513603809124133,0.355046737530648
49,-0.0731320078099065,-0.340904479481879,0.194640463862067,-0.512290707774998,0.366026692155185
50,-0.068229025857597,-0.343299951528312,0.206841899813118,-0.519357513268834,0.38289946155364
51,-0.0688413587825929,-0.347418598845307,0.209735881280121,-0.525720356918269,0.388037639353083
52,-0.075290294707477,-0.351790192506285,0.201209603091331,-0.528762359627415,0.378181770212461
53,-0.0797074816417719,-0.35455618421925,0.195141220935707,-0.530471513348811,0.371056550065268
54,-0.0744257885799247,-0.352955000932705,0.204103423772855,-0.531226019146533,0.382374441986683
55,-0.0641386506647044,-0.34832685048925,0.220049549159841,-0.530219871042183,0.401942569712774
56,-0.0611383941118663,-0.346418584037989,0.224141795814256,-0.529010526566262,0.40673373834253
57,-0.0674980769699668,-0.349131712598275,0.214135558658342,-0.529389699050086,0.394393545110152
58,-0.0715887031444877,-0.351773512434241,0.208596106145266,-0.531104185932385,0.38792677964341
59,-0.0652599008553046,-0.350735833356242,0.220216031645633,-0.533453059792172,0.402933258081563
60,-0.0548860221904401,-0.34764342916589,0.23787138478501,-0.535021121402532,0.425249077021652
61,-0.0504764265205258,-0.346366146721649,0.245413293680598,-0.535748657998235,0.434795804957184
62,-0.0518956043579431,-0.350412048306489,0.246620839590603,-0.541475778989341,0.437684570273454
63,-0.0508845328179563,-0.360171314676245,0.258402249040333,-0.558128538107875,0.456359472471963
64,-0.0400955245100106,-0.367570734437609,0.287379685417587,-0.577169356501128,0.496978307481107
65,-0.0171710028311763,-0.359848059178841,0.325506053516488,-0.579176535490477,0.544834529828125
66,0.0130589966669889,-0.334773487913995,0.360891481247972,-0.557401666374352,0.58351965970833
67,0.0416348297435572,-0.306648102764864,0.389917762251978,-0.529564587826882,0.612834247313997
68,0.0740821804670916,-0.282432835263216,0.430597196197399,-0.510618217779796,0.658782578713979
69,0.1435048849961,-0.232760023964729,0.519769793956929,-0.473586211896577,0.760595981888777
70,0.277812955587493,-0.119288701075968,0.674914612250954,-0.373451329368363,0.92907724054335
71,0.440520550530435,0.034854385900752,0.846186715160118,-0.22478990638926,1.10583100745013
72,0.53109902006094,0.132598276703199,0.929599763418681,-0.122459828970013,1.18465786909189
73,0.474598388044766,0.0889831332605643,0.860213642828967,-0.15782768966344,1.10702446575297
74,0.301907669250353,-0.0772866196641064,0.681101958164813,-0.319987740363895,0.923803078864602
75,0.11692789337831,-0.261507742621004,0.495363529377625,-0.503723291891817,0.737579078648438
76,-0.00661978979882664,-0.381891150469779,0.368651570872126,-0.622081423540903,0.60884184394325
77,-0.0690471397928199,-0.439308219832628,0.301213940246988,-0.676291691641845,0.538197412056205
78,-0.0971189044199311,-0.468815661563373,0.274577852723511,-0.706718030234176,0.512480221394314
79,-0.096694552585706,-0.478792188165904,0.285403082994492,-0.723351579177653,0.529962474006241
80,-0.0661458762701681,-0.458092641681166,0.32580088914083,-0.708955911516344,0.576664158976008
