s,beta,lower,upper,lower_joint,upper_joint
35,0.10714575914082136,-0.009452092458425584,0.22374361074006832,-0.09448724756931551,0.3087787658509582
36,0.11555565724712524,-0.0010181191252378319,0.23212943361948832,-0.08603571610255736,0.3171470305968078
37,0.1174372436210196,0.014714617073416744,0.22015987016862243,-0.060201295716264897,0.29507578295830406
38,0.11478531669548353,0.0061899765379965915,0.22338065685297048,-0.07300892350993016,0.3025795569008972
39,0.11868555814986514,0.013348514724955698,0.2240226015747746,-0.06347409996048994,0.3008452162602202
40,0.1266955656394666,0.007355112802948996,0.24603601847598422,-0.07968022943334535,0.33307136071227855
41,0.12297432831347255,0.00019213681382278247,0.2457565198131223,-0.08935327552287536,0.33530193214982046
42,0.10677936053042547,-0.03199686209002009,0.24555558315087103,-0.1332067682278549,0.3467654892887059
43,0.09703300984158103,-0.031270286662889196,0.22533630634605126,-0.12484225707101798,0.31890827675418004
44,0.09767304233350815,-0.035258637004681626,0.23060472167169793,-0.1322061005868241,0.32755218525384044
45,0.08613563008853209,-0.04686752274864586,0.21913878292571004,-0.1438671121632065,0.31613837234027065
46,0.056481005531081596,-0.08864303980297927,0.20160505086514247,-0.19448243166173446,0.30744444272389765
47,0.043842743755373004,-0.09912583398010322,0.18681132149084922,-0.2033932369979995,0.2910787245087455
48,0.06517200632450626,-0.09637974474794786,0.22672375739696038,-0.21419991057826526,0.3445439232272778
49,0.04433556719336407,-0.16928593861376806,0.2579570730004962,-0.32508072927394754,0.4137518636606757
50,-0.16412786773077648,-0.46788267793603916,0.1396269424744862,-0.6894119518223366,0.36115621636078366
51,-0.6643483655675522,-1.091812457248953,-0.2368842738861513,-1.403563272910623,0.07486654177551866
52,-1.4406459024838667,-2.103666641823581,-0.7776251631441524,-2.587209611425378,-0.29408219354235543
53,-2.368581300131547,-3.3306947367425748,-1.4064678635205192,-4.03236688759564,-0.704795712667454
54,-3.267712315923711,-4.470521601240343,-2.0649030306070792,-5.3477339404287525,-1.1876906914186698
55,-3.958159396084099,-5.292099240171556,-2.6242195519966423,-6.26494548043029,-1.6513733117379084
56,-4.332783884120517,-5.722341323814847,-2.9432264444261875,-6.735749639656076,-1.9298181285849592
57,-4.416643707297132,-5.848112944240875,-2.985174470353388,-6.892087656728327,-1.941199757865936
58,-4.337514301184256,-5.747472375804681,-2.927556226563831,-6.775758934525235,-1.899269667843277
59,-4.2128753074341105,-5.572737510801461,-2.8530131040667603,-6.564489003703977,-1.8612616111642444
60,-4.073756469012044,-5.401587225297617,-2.7459257127264705,-6.36997808990668,-1.7775348481174076
61,-3.900912058454937,-5.232799283042542,-2.5690248338673314,-6.20414854188044,-1.5976755750294336
62,-3.6970177208389403,-4.9834004961978735,-2.410634945480007,-5.921563226765119,-1.472472214912762
63,-3.490704348702522,-4.715499440483031,-2.265909256922013,-5.608746092802008,-1.3726626046030366
64,-3.292463820800882,-4.475945198953553,-2.1089824426482116,-5.339061638765486,-1.2458660028362782
65,-3.0883569945649096,-4.238531116494016,-1.9381828726358035,-5.077356476663901,-1.0993575124659183
66,-2.875432702461615,-3.943378005293109,-1.8074873996301213,-4.722233646547556,-1.0286317583756739
67,-2.672166633539142,-3.6713588761649882,-1.6729743909132955,-4.400072708983461,-0.9442605580948225
68,-2.4908717316298334,-3.4486197779750336,-1.5331236852846333,-4.147108236905111,-0.8346352263545558
69,-2.3248531598052473,-3.2342990505615736,-1.4154072690489208,-3.8975606057678376,-0.752145713842657
70,-2.1677835693350866,-2.9996101629108147,-1.3359569757593586,-3.6062637370537884,-0.7293034016163848
71,-2.024543479730994,-2.805205445244914,-1.2438815142170738,-3.3745445060949613,-0.6745424533670268
72,-1.896656071149525,-2.6345428051319257,-1.1587693371671244,-3.1726857641816677,-0.6206263781173826
73,-1.7754912238002702,-2.4536716228941104,-1.09731082470643,-2.948270576812421,-0.6027118707881198
74,-1.657776933505351,-2.27284006837522,-1.0427137986354817,-2.7214074163947553,-0.5941464506159466
75,-1.5530798542708628,-2.1347286463022637,-0.9714310622394619,-2.558926816097456,-0.54723289244427
76,-1.4685276020045868,-2.018445334113641,-0.9186098698955325,-2.4195019488516802,-0.5175532551574934
77,-1.3987547000195293,-1.91289483975203,-0.8846145602870286,-2.287858751447039,-0.5096506485920195
78,-1.3375315936831123,-1.8309806257509902,-0.8440825616152343,-2.1908544519466138,-0.48420873541961074
79,-1.2871337517487391,-1.7731129767812566,-0.8011545267162217,-2.1275390507997343,-0.44672845269774386
80,-1.2488524890796637,-1.7183875928468215,-0.7793173853125059,-2.06082092100178,-0.43688405715754774
81,-1.2151376512279213,-1.6686768365611617,-0.7615984658946808,-1.999444294491989,-0.43083100796385365
82,-1.1791807446447033,-1.6246312972262893,-0.7337301920631173,-1.9494996915702847,-0.408861797719122
83,-1.1434959735715786,-1.5750022383070361,-0.7119897088361211,-1.8897010226312692,-0.3972909245118881
84,-1.111834604309312,-1.5206529123725765,-0.7030162962460473,-1.8188053033601632,-0.4048639052584606
85,-1.0808762993155354,-1.4745790226725581,-0.6871735759585127,-1.7617075734053096,-0.40004502522576124
86,-1.0473286725052136,-1.4335219250543922,-0.6611354199560349,-1.7151737967044065,-0.3794835483060207
87,-1.0161029582695225,-1.3929809262432586,-0.6392249902957863,-1.6678391335340237,-0.36436678300502134
88,-0.9940971493733657,-1.3698230852190674,-0.618371213527664,-1.6438411121003607,-0.3443531866463706
89,-0.981462968030856,-1.3673985415588792,-0.5955273945028327,-1.6488624871430848,-0.31406344891862703
90,-0.9748478306893253,-1.3648427535558785,-0.5848529078227722,-1.6492671945172854,-0.30042846686136526
91,-0.9731293728280894,-1.3525354657717579,-0.593723279884421,-1.6292374420171756,-0.31702130363900327
92,-0.9737670421119677,-1.3394821225136313,-0.6080519617103042,-1.6061992031613497,-0.3413348810625858
93,-0.9691471814340722,-1.316725394685089,-0.6215689681830554,-1.5702152049309328,-0.36807915793721147
94,-0.9530410432905452,-1.2745861955368714,-0.631495891044219,-1.5090900180463906,-0.3969920685346998
95,-0.9266794462194681,-1.2195041231803878,-0.6338547692585483,-1.4330620188374366,-0.4202968736014996
96,-0.8939592221691255,-1.1752646871081176,-0.6126537572301334,-1.3804215876558692,-0.4074968566823817
97,-0.8556316291344865,-1.131943594473646,-0.5793196637953271,-1.3334587211191016,-0.37780453714987156
98,-0.8122586539741783,-1.089477216240705,-0.5350400917076518,-1.2916535266840117,-0.3328637812643449
99,-0.7666648602912076,-1.0487274021358588,-0.4846023184465564,-1.254436441091142,-0.2788932794912734
100,-0.7183274590101867,-1.0102426699593365,-0.4264122480610368,-1.223137289386865,-0.21351762863350843
101,-0.6611978472525175,-0.9562426120124854,-0.36615308249254963,-1.171419624212099,-0.15097607029293603
102,-0.5924827503321479,-0.8893742076520308,-0.2955912930122651,-1.1058980181512754,-0.07906748251302054
103,-0.5184791807570059,-0.8224832705739036,-0.2144750909401083,-1.0441943448120137,0.007235983298001902
104,-0.4474892298310156,-0.7579775234529309,-0.1370009362091003,-0.9844175465418779,0.0894390868798467
105,-0.3830312895290362,-0.6853166027931481,-0.08074597626492436,-0.9057741682507582,0.13971158919268578
106,-0.3277150660853012,-0.6212935641573127,-0.034136568013289625,-0.835401223761367,0.17997109159076463
107,-0.2853774867976764,-0.571242223832561,0.00048725023720813665,-0.7797242148905519,0.20896924129519912
108,-0.2534956210624406,-0.5235018772368341,0.01651063511195283,-0.7204182316960488,0.2134269895711675
109,-0.22173839315157728,-0.457877850876829,0.014401064573674432,-0.6300950499079465,0.1866182636047919
110,-0.18496126725438966,-0.4023253539146897,0.03240281940591036,-0.560849619766728,0.19092708525794866
111,-0.15002444914618884,-0.34662511931459467,0.04657622102221698,-0.4900065646274624,0.1899576663350847
112,-0.12362676538253492,-0.3074754150443928,0.06022188427932293,-0.4415567744047458,0.19430324363967594
113,-0.10302122091900756,-0.2710212546522142,0.0649788128141991,-0.39354417193751207,0.18750173009949694
114,-0.08609333392234753,-0.25993611725328336,0.08774944940858828,-0.386720168954888,0.21453350111019293
115,-0.07884516976249412,-0.24764063997554367,0.08995030045055544,-0.37074367141832,0.21305333189333175
116,-0.0823264804388959,-0.253909193822533,0.08925623294474122,-0.37904496988360054,0.21439200900580874
117,-0.08382581077996942,-0.24544695026187693,0.07779532870193809,-0.3633177212626999,0.19566609970276105
118,-0.07320156815263434,-0.23328422202897997,0.08688108572371128,-0.3500329709658418,0.2036298346605731
119,-0.05505196376897992,-0.1986364431758582,0.08853251563789838,-0.3033530250889261,0.19324909755096625
120,-0.031411684750472624,-0.17854248078793056,0.11571911128698531,-0.28584540181975127,0.22302203231880602
121,0.007099563793577346,-0.1368750494039414,0.1510741769910961,-0.24187615703464543,0.2560752846218001
122,0.04601235074667098,-0.10701233154030318,0.19903703303364514,-0.2186136810985444,0.31063838259188636
123,0.021258093416149038,-0.14728205195726424,0.1897982387895623,-0.2701988742457179,0.312715061078016
124,-0.12673663689482773,-0.3176785869980112,0.06420531320835576,-0.45693311117232177,0.20345983738266632
125,-0.37294200289227675,-0.6939744282348863,-0.051909577549667185,-0.9281043175098813,0.18222031172532782
