s,beta,lower,upper,lower_joint,upper_joint
1,0.09913537867493183,-0.032009497558885186,0.23028025490874884,-0.12765384039695782,0.3259245977468215
2,0.09505070347895206,-0.022566577874067337,0.21266798483197147,-0.10834520609400428,0.2984466130519084
3,0.09897064524798793,-0.014350898930674691,0.21229218942665057,-0.09699663343150125,0.2949379239274771
4,0.110134764201268,-0.007641941683511164,0.22791147008604717,-0.0935368386819953,0.3138063670845313
5,0.1226532703768779,0.0007352332032736358,0.24457130755048218,-0.0881799488491857,0.33348648960294147
6,0.13582859853826257,-0.0029328377047231624,0.2745900347812483,-0.10413196009411341,0.37578915717063854
7,0.1519328303133678,0.01233439338456449,0.2915312672421711,-0.08947515605961445,0.39334081668635
8,0.167511940599522,0.014398906725790056,0.320624974473254,-0.09726687790377708,0.4322907591028211
9,0.17653302715338626,0.02552291259350295,0.3275431417132696,-0.08460920681336842,0.43767526112014093
10,0.17928600387868698,0.019204313928277122,0.3393676938290968,-0.09754373201457289,0.45611573977194686
11,0.17934102219227466,0.023827836090233145,0.33485420829431617,-0.08958838659822332,0.44827043098277264
12,0.1749920538599392,0.01829841458364964,0.33168569313622875,-0.0959787160666305,0.4459628237865089
13,0.16323398468663264,0.020290687132416746,0.3061772822408485,-0.08395827897514868,0.41042624834841396
14,0.1493733830315085,0.008721900609098221,0.29002486545391876,-0.09385563800177193,0.3926024040647889
15,0.14247493351457763,0.017444555025727337,0.2675053120034279,-0.07374046667531853,0.3586903337044738
16,0.14283951158452535,0.020014514363560443,0.26566450880549025,-0.06956211631122661,0.3552411394802773
17,0.14366266791373938,0.036403599478060655,0.2509217363494181,-0.04182075368434704,0.3291460895118258
18,0.14358047889998193,0.03521389278821417,0.2519470650117497,-0.043818176263316244,0.3309791340632801
19,0.14749541796396848,0.04435788831682069,0.25063294761111626,-0.03086061452012062,0.3258514504480576
20,0.15590309993612106,0.03685569054700913,0.274950509325233,-0.049965934243701216,0.36177213411594333
21,0.16379544556334835,0.04643338968674192,0.28115750143995477,-0.03915910184476254,0.36674999297145927
22,0.17017249382391597,0.04389388097625216,0.2964511066715798,-0.0482014817032988,0.38854646935113074
23,0.17858942900284536,0.05575496642052251,0.3014238915851682,-0.0338285673700614,0.3910074253757521
24,0.1878138212733802,0.05502498037718548,0.3206026621695749,-0.04181831071031625,0.4174459532570767
25,0.1916922982153233,0.06399270882775354,0.31939188760289305,-0.029138976209563905,0.4125235726402105
26,0.18883511055278568,0.05435044821172155,0.32331977289384983,-0.043729610428757754,0.42139983153432914
27,0.1828774280134473,0.05234861198197968,0.3134062440449149,-0.04284643634383656,0.4086012923707312
28,0.17313789655078438,0.03198729100768169,0.31428850209388703,-0.07095425955885803,0.4172300526604268
29,0.15560100585564296,0.01757337086293781,0.2936286408483481,-0.08309058812264769,0.3942925998339336
30,0.13371267048611646,-0.00921944517687795,0.27664478614911087,-0.11346025629838308,0.380885597270616
31,0.11713935015847898,-0.017139369530655646,0.2514180698476136,-0.11506923359112703,0.349347933908085
32,0.10874421907441789,-0.028909210478116565,0.24639764862695235,-0.12930026033877562,0.3467886984876114
33,0.10374467774167684,-0.024430524319687535,0.2319198798030412,-0.11790907507480428,0.325398430558158
34,0.10184087246336926,-0.027050657248721688,0.2307324021754602,-0.12105162786024468,0.3247333727869832
