"s","beta.hat","CI.lower.pointwise","CI.upper.pointwise","CI.lower.joint","CI.upper.joint"
1,0.003569613349445,-0.293077109135395,0.300216335834285,-0.436065675402966,0.443204902101856
2,0.0113154447540721,-0.28992386659248,0.312554756100624,-0.435126135716067,0.457757025224211
3,0.0174847390571248,-0.288310146880897,0.323279624995146,-0.435708277377577,0.470677755491827
4,0.0217948465591504,-0.287964874558309,0.33155456767661,-0.437274120381146,0.480863813499447
5,0.0255923932985914,-0.286991334420367,0.33817612101755,-0.437661797558185,0.488846584155368
6,0.0300867119176139,-0.283834626687005,0.344008050522233,-0.435149840122963,0.495323263958191
7,0.0346370547029877,-0.279112777477366,0.348386886883341,-0.430345322015094,0.49961943142107
8,0.0376463257630404,-0.27470638309926,0.349999034625341,-0.425265491374237,0.500558142900318
9,0.0389674906855091,-0.271222271645682,0.349157253016701,-0.420738804358705,0.498673785729724
10,0.0401900799773981,-0.267552721053451,0.347932881008248,-0.415889778446075,0.496269938400871
11,0.0421942983784813,-0.263218751676476,0.347607348433438,-0.410432831039837,0.494821427796799
12,0.0437890797152979,-0.259682314854094,0.34726047428469,-0.40596048455447,0.493538643985066
13,0.0437563567728171,-0.258270914641807,0.345783628187442,-0.403852993390345,0.491365706935979
14,0.0430977184645984,-0.257925354157163,0.34412079108636,-0.403023392682918,0.489218829612115
15,0.0437378915281626,-0.256551785329611,0.344027568385936,-0.401296315116349,0.488772098172674
16,0.0456139451717031,-0.254030398584661,0.345258288928067,-0.398463867274339,0.489691757617745
17,0.04680154259668,-0.252149062874512,0.345752148067872,-0.396248138377808,0.489851223571168
18,0.0465811483031446,-0.251518263174896,0.344680559781185,-0.395207049268361,0.48836934587465
19,0.0467551018799199,-0.250215342826959,0.343725546586798,-0.393359948493888,0.486870152253728
20,0.0492401090248671,-0.246213635270641,0.344693853320375,-0.388627166562426,0.48710738461216
21,0.0534069970947956,-0.240118526243986,0.346932520433578,-0.381602623535153,0.488416617724744
22,0.0566700235651283,-0.234629434800943,0.3479694819312,-0.375040532410199,0.488380579540455
23,0.0572589737296225,-0.231745752204306,0.346263699663551,-0.371050751294449,0.485568698753694
24,0.0557993540464256,-0.231116523780745,0.342715231873596,-0.369414663959944,0.481013372052795
25,0.0543904350673757,-0.230891932132633,0.339672802267385,-0.368402693504462,0.477183563639213
26,0.0546062771154386,-0.229671836245081,0.338884390475958,-0.366698530860754,0.475911085091631
27,0.0564348161091768,-0.227534753054565,0.340404385272919,-0.364412724327005,0.477282356545358
28,0.0589620507761257,-0.225336535579722,0.343260637131973,-0.362373098513591,0.480297200065842
29,0.0618112726379394,-0.223269404979571,0.34689195025545,-0.360682948677828,0.484305493953707
30,0.0654791417745971,-0.220550861130406,0.3515091446796,-0.358421995125441,0.489380278674635
31,0.0701183166497716,-0.216707753426821,0.356944386726364,-0.35496260480314,0.495199238102683
32,0.0745866418906176,-0.212621999487569,0.361795283268805,-0.351061256480953,0.500234540262189
33,0.0773525476025698,-0.209695296433358,0.364400391638497,-0.348057046480982,0.502762141686122
34,0.0781566712578843,-0.208190644480451,0.36450398699622,-0.346214728444785,0.502528070960554
35,0.0782587097245023,-0.206944349076621,0.363461768525625,-0.344416882504602,0.500934301953606
